model,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.9986,0.9473684210526315,0.96,0.9536423841059603,0.999609475465313
LightGBM,0.9987,0.959731543624161,0.9533333333333334,0.9565217391304348,0.9995749576988155
LogisticRegression,0.9528,0.2403225806451613,0.9933333333333333,0.38701298701298703,0.9993570219966159
NeuralNetwork,0.998,0.9166666666666666,0.9533333333333334,0.934640522875817,0.9992006768189509
StackingEnsemble,0.9988,0.96,0.96,0.96,0.9991485617597293
RandomForest,0.9884,0.5669291338582677,0.96,0.7128712871287128,0.9980250423011846
