model,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,0.621875,0.38145695364238413,0.676056338028169,0.4877222692633362,0.680851148915069
RandomForest,0.681875,0.41113490364025695,0.4507042253521127,0.43001119820828665,0.6707416560692949
VotingEnsemble,0.71625,0.4263157894736842,0.19014084507042253,0.262987012987013,0.6539658164775136
XGBoost,0.713125,0.40782122905027934,0.17136150234741784,0.2413223140495868,0.6348565555742175
LightGBM,0.719375,0.4327485380116959,0.17370892018779344,0.24790619765494137,0.6348425590453568
NeuralNetwork,0.669375,0.35492957746478876,0.29577464788732394,0.322663252240717,0.6030964320848429
