feature,importance
annual_income,0.5444660707479598
credit_age_years,0.268906604659327
late_payments_12m,0.24191590569716992
credit_utilization,0.21595666871392047
risk_interaction,0.13060921135800121
payment_history_score,0.09184039558631046
employment_years,0.08745420545497944
debt_to_income_ratio,0.07784938882534609
debt_to_income,0.0713837861819093
accounts_per_credit_year,0.05069707049822952
existing_debt,0.041667297269288577
credit_age_bucket,0.01796893689725344
loan_to_income_ratio,0.012458452922970563
age,0.012432271308403024
loan_amount,0.012117037258614797
num_accounts,0.007843577108154944
